,id0,id1,points_0,points_1
0,FIU,North Texas,41.0,16.0
0,UNLV,Wisconsin,17.0,51.0
0,Memphis,Mississippi State,14.0,59.0
0,Syracuse,Wake Forest,36.0,29.0
0,Bowling Green,Idaho,32.0,15.0
0,Kentucky,W. Kentucky,14.0,3.0
0,Baylor,TCU,50.0,48.0
0,Akron,Ohio State,0.0,42.0
0,"Miami, OH",Missouri,6.0,17.0
0,Auburn,Utah State,42.0,38.0
0,Boston College,Northwestern,17.0,24.0
0,MTSU,Purdue,24.0,27.0
0,Alabama,Kent State,48.0,7.0
0,Florida State,La.-Monroe,34.0,0.0
0,Notre Dame,South Florida,20.0,23.0
0,Minnesota,Southern Cal,17.0,19.0
0,Michigan,W. Michigan,34.0,10.0
0,Clemson,Troy,43.0,19.0
0,Houston,UCLA,38.0,34.0
0,Arkansas State,Illinois,15.0,33.0
0,BYU,Mississippi,14.0,13.0
0,San Jose State,Stanford,3.0,57.0
0,Colorado State,New Mexico,14.0,10.0
0,Buffalo,Pittsburgh,16.0,35.0
0,La.-Lafayette,Oklahoma State,34.0,61.0
0,East Carolina,South Carolina,37.0,56.0
0,Florida,Florida Atlantic,41.0,3.0
0,California,Fresno State,36.0,21.0
0,Ball State,Indiana,27.0,20.0
0,Army,N. Illinois,26.0,49.0
0,Oklahoma,Tulsa,47.0,14.0
0,LSU,Oregon,40.0,27.0
0,Boise State,Georgia,35.0,21.0
0,New Mexico State,Ohio,24.0,44.0
0,Rice,Texas,9.0,34.0
0,La. Tech,Southern Miss,17.0,19.0
0,Colorado,Hawaii,17.0,34.0
0,Marshall,West Virginia,13.0,34.0
0,SMU,Texas A&M,14.0,46.0
0,Maryland,"Miami, FL",32.0,24.0
0,Arizona,Oklahoma State,14.0,37.0
0,FIU,Louisville,24.0,17.0
0,Arizona State,Missouri,37.0,30.0
0,Oregon State,Wisconsin,0.0,35.0
0,Ohio State,Toledo,27.0,22.0
0,Florida Atlantic,Michigan State,0.0,44.0
0,Iowa,Iowa State,41.0,44.0
0,C. Michigan,Kentucky,13.0,27.0
0,Army,San Diego State,20.0,23.0
0,Auburn,Mississippi State,41.0,34.0
0,North Carolina,Rutgers,24.0,22.0
0,Alabama,Penn State,27.0,11.0
0,Duke,Stanford,14.0,44.0
0,East Carolina,Virginia Tech,10.0,17.0
0,Nevada,Oregon,20.0,69.0
0,Air Force,TCU,19.0,35.0
0,California,Colorado,36.0,33.0
0,Minnesota,New Mexico State,21.0,28.0
0,N.C. State,Wake Forest,27.0,34.0
0,Purdue,Rice,22.0,24.0
0,Hawaii,Washington,32.0,40.0
0,Marshall,Southern Miss,26.0,20.0
0,Cincinnati,Tennessee,23.0,45.0
0,Tulane,Tulsa,3.0,31.0
0,Georgia,South Carolina,42.0,45.0
0,UNLV,Washington State,7.0,59.0
0,Akron,Temple,3.0,41.0
0,Fresno State,Nebraska,29.0,42.0
0,Arkansas,New Mexico,52.0,3.0
0,Florida,UAB,39.0,0.0
0,Ball State,South Florida,7.0,37.0
